Chidamber-Kemerer metrics,lun., 24 oct. 2022 22:54:29 EDT
Class,CBO,DIT,LCOM,NOC,RFC,WMC
org.jfree.chart.AreaChartTest,14,0,1,0,27,6
org.jfree.chart.AreaChartTest.LocalListener,3,0,1,0,1,1
org.jfree.chart.BarChartTest,14,0,1,0,27,6
org.jfree.chart.BarChartTest.LocalListener,3,0,1,0,1,1
org.jfree.chart.ChartColor,1,0,1,0,2,2
org.jfree.chart.ChartElement,n/a,n/a,n/a,n/a,1,n/a
org.jfree.chart.ChartElementVisitor,n/a,n/a,n/a,n/a,1,n/a
org.jfree.chart.ChartFactory,121,0,1,0,163,131
org.jfree.chart.ChartHints,3,0,0,0,2,1
org.jfree.chart.ChartHints.Key,1,0,1,2,2,5
org.jfree.chart.ChartRenderingInfo,41,0,1,0,19,21
org.jfree.chart.ChartRenderingInfoTest,7,0,4,0,22,4
org.jfree.chart.ChartTheme,n/a,n/a,n/a,n/a,1,n/a
org.jfree.chart.ChartTransferable,2,0,1,0,9,13
org.jfree.chart.ChartUtils,14,0,9,0,45,32
org.jfree.chart.Drawable,n/a,n/a,n/a,n/a,1,n/a
org.jfree.chart.GanttChartTest,14,0,1,0,31,9
org.jfree.chart.GanttChartTest.LocalListener,3,0,1,0,1,1
org.jfree.chart.JFreeChart,120,0,2,0,125,157
org.jfree.chart.JFreeChartTest,19,0,11,0,64,14
org.jfree.chart.LegendItemCollectionTest,4,0,3,0,13,3
org.jfree.chart.LegendItemTest,5,0,4,0,19,4
org.jfree.chart.LineChartTest,13,0,1,0,26,6
org.jfree.chart.LineChartTest.LocalListener,3,0,1,0,1,1
org.jfree.chart.MeterChartTest,5,0,1,0,8,1
org.jfree.chart.PieChartTest,5,0,1,0,12,3
org.jfree.chart.PieChartTest.LocalListener,3,0,1,0,1,1
org.jfree.chart.ScatterPlotTest,12,0,1,0,25,5
org.jfree.chart.ScatterPlotTest.LocalListener,3,0,1,0,1,1
org.jfree.chart.StackedAreaChartTest,14,0,1,0,27,6
org.jfree.chart.StackedAreaChartTest.LocalListener,3,0,1,0,1,1
org.jfree.chart.StackedBarChartTest,13,0,1,0,27,6
org.jfree.chart.StackedBarChartTest.LocalListener,3,0,1,0,1,1
org.jfree.chart.StandardChartTheme,57,0,4,1,225,200
org.jfree.chart.StandardChartThemeTest,7,0,3,0,42,3
org.jfree.chart.TestUtils,301,0,3,0,31,5
org.jfree.chart.TimeSeriesChartTest,12,0,1,0,25,5
org.jfree.chart.TimeSeriesChartTest.LocalListener,3,0,1,0,1,1
org.jfree.chart.WaterfallChartTest,11,0,1,0,18,5
org.jfree.chart.XYAreaChartTest,12,0,1,0,25,5
org.jfree.chart.XYAreaChartTest.LocalListener,3,0,1,0,1,1
org.jfree.chart.XYBarChartTest,14,0,1,0,26,5
org.jfree.chart.XYBarChartTest.LocalListener,3,0,1,0,1,1
org.jfree.chart.XYLineChartTest,12,0,1,0,25,5
org.jfree.chart.XYLineChartTest.LocalListener,3,0,1,0,1,1
org.jfree.chart.XYStepAreaChartTest,12,0,1,0,25,5
org.jfree.chart.XYStepAreaChartTest.LocalListener,3,0,1,0,1,1
org.jfree.chart.XYStepChartTest,13,0,1,0,25,5
org.jfree.chart.XYStepChartTest.LocalListener,3,0,1,0,1,1
org.jfree.chart.annotations.AbstractAnnotation,20,0,1,3,13,15
org.jfree.chart.annotations.AbstractXYAnnotation,18,1,4,9,14,16
org.jfree.chart.annotations.Annotation,n/a,n/a,n/a,n/a,2,n/a
org.jfree.chart.annotations.CategoryAnnotation,n/a,n/a,n/a,n/a,1,n/a
org.jfree.chart.annotations.CategoryLineAnnotation,19,1,1,0,40,29
org.jfree.chart.annotations.CategoryLineAnnotationTest,3,0,6,0,23,6
org.jfree.chart.annotations.CategoryPointerAnnotation,18,3,1,0,50,35
org.jfree.chart.annotations.CategoryPointerAnnotationTest,4,0,5,0,25,5
org.jfree.chart.annotations.CategoryTextAnnotation,21,2,1,1,34,19
org.jfree.chart.annotations.CategoryTextAnnotationTest,4,0,5,0,18,5
org.jfree.chart.annotations.TextAnnotation,9,1,6,1,24,25
org.jfree.chart.annotations.TextAnnotationTest,6,0,4,0,19,5
org.jfree.chart.annotations.XYAnnotation,n/a,n/a,n/a,n/a,1,n/a
org.jfree.chart.annotations.XYAnnotationBoundsInfo,n/a,n/a,n/a,n/a,3,n/a
org.jfree.chart.annotations.XYBoxAnnotation,13,2,1,0,34,30
org.jfree.chart.annotations.XYBoxAnnotationTest,10,0,7,0,29,7
org.jfree.chart.annotations.XYDataImageAnnotation,13,2,2,0,30,28
org.jfree.chart.annotations.XYDrawableAnnotation,12,2,1,0,26,21
org.jfree.chart.annotations.XYDrawableAnnotationTest,4,0,5,0,17,5
org.jfree.chart.annotations.XYDrawableAnnotationTest.TestDrawable,2,0,1,0,4,6
org.jfree.chart.annotations.XYImageAnnotation,12,2,1,0,27,22
org.jfree.chart.annotations.XYImageAnnotationTest,0,0,0,0,0,0
org.jfree.chart.annotations.XYLineAnnotation,15,2,1,0,35,27
org.jfree.chart.annotations.XYLineAnnotationTest,3,0,7,0,25,7
org.jfree.chart.annotations.XYPointerAnnotation,15,3,1,0,58,37
org.jfree.chart.annotations.XYPointerAnnotationTest,4,0,5,0,25,5
org.jfree.chart.annotations.XYPolygonAnnotation,15,2,1,0,34,29
org.jfree.chart.annotations.XYPolygonAnnotationTest,3,0,5,0,15,5
org.jfree.chart.annotations.XYShapeAnnotation,14,2,1,0,30,21
org.jfree.chart.annotations.XYShapeAnnotationTest,3,0,5,0,15,5
org.jfree.chart.annotations.XYTextAnnotation,23,2,1,1,54,49
org.jfree.chart.annotations.XYTextAnnotationTest,4,0,5,0,25,5
org.jfree.chart.annotations.XYTitleAnnotation,25,2,1,0,45,36
org.jfree.chart.annotations.XYTitleAnnotationTest,10,0,5,0,26,5
org.jfree.chart.api.HorizontalAlignment,12,n/a,2,n/a,2,0
org.jfree.chart.api.Layer,8,n/a,2,n/a,2,0
org.jfree.chart.api.LengthAdjustmentType,8,n/a,2,n/a,2,0
org.jfree.chart.api.PublicCloneable,n/a,n/a,n/a,n/a,1,n/a
org.jfree.chart.api.RectangleAlignment,6,n/a,3,n/a,4,14
org.jfree.chart.api.RectangleAlignmentTest,1,0,1,0,2,1
org.jfree.chart.api.RectangleAnchor,29,n/a,3,n/a,7,22
org.jfree.chart.api.RectangleEdge,100,n/a,3,n/a,6,14
org.jfree.chart.api.RectangleInsets,65,0,1,0,30,57
org.jfree.chart.api.Rotation,5,n/a,3,n/a,4,2
org.jfree.chart.api.SortOrder,9,n/a,2,n/a,2,0
org.jfree.chart.api.TableOrder,7,n/a,2,n/a,2,0
org.jfree.chart.api.UnitType,7,n/a,2,n/a,2,0
org.jfree.chart.api.VerticalAlignment,12,n/a,2,n/a,2,0
org.jfree.chart.api.XYCoordinateType,1,n/a,2,n/a,2,0
org.jfree.chart.axis.Axis,60,0,7,2,109,153
org.jfree.chart.axis.AxisCollection,5,0,1,0,7,11
org.jfree.chart.axis.AxisLabelLocation,2,n/a,2,n/a,2,0
org.jfree.chart.axis.AxisLocation,14,n/a,3,n/a,5,7
org.jfree.chart.axis.AxisLocationTest,2,0,1,0,7,3
org.jfree.chart.axis.AxisSpace,19,0,1,0,20,43
org.jfree.chart.axis.AxisSpaceTest,1,0,3,0,15,3
org.jfree.chart.axis.AxisState,24,0,3,0,14,18
org.jfree.chart.axis.AxisTest,5,0,4,0,39,4
org.jfree.chart.axis.CategoryAnchor,7,n/a,2,n/a,2,0
org.jfree.chart.axis.CategoryAnchorTest,2,0,1,0,8,3
org.jfree.chart.axis.CategoryAxis,76,1,4,2,127,134
org.jfree.chart.axis.CategoryAxisTest,3,0,5,0,24,5
org.jfree.chart.axis.CategoryLabelPosition,9,0,6,0,13,20
org.jfree.chart.axis.CategoryLabelPositionTest,6,0,3,0,10,3
org.jfree.chart.axis.CategoryLabelPositions,10,0,2,0,18,21
org.jfree.chart.axis.CategoryLabelPositionsTest,5,0,2,0,11,3
org.jfree.chart.axis.CategoryLabelWidthType,5,n/a,2,n/a,2,0
org.jfree.chart.axis.CategoryLabelWidthTypeTest,2,0,1,0,7,3
org.jfree.chart.axis.CategoryTick,6,1,3,0,9,11
org.jfree.chart.axis.CategoryTickTest,7,0,1,0,16,4
org.jfree.chart.axis.CompassFormat,2,0,2,0,8,9
org.jfree.chart.axis.CyclicNumberAxis,23,3,3,0,79,120
org.jfree.chart.axis.CyclicNumberAxis.CycleBoundTick,3,3,0,0,2,1
org.jfree.chart.axis.CyclicNumberAxisTest,3,0,4,0,21,4
org.jfree.chart.axis.DateAxis,30,2,1,1,130,153
org.jfree.chart.axis.DateAxis.DefaultTimeline,2,0,7,0,8,11
org.jfree.chart.axis.DateAxisTest,21,0,8,0,90,25
org.jfree.chart.axis.DateAxisTest.MyDateAxis,3,3,1,0,4,2
org.jfree.chart.axis.DateTick,7,2,1,0,8,8
org.jfree.chart.axis.DateTickMarkPosition,3,n/a,2,n/a,2,0
org.jfree.chart.axis.DateTickMarkPositionTest,2,0,1,0,8,3
org.jfree.chart.axis.DateTickTest,5,0,1,0,14,4
org.jfree.chart.axis.DateTickUnit,7,1,4,0,21,32
org.jfree.chart.axis.DateTickUnitTest,3,0,1,0,8,3
org.jfree.chart.axis.DateTickUnitType,4,n/a,3,n/a,4,2
org.jfree.chart.axis.ExtendedCategoryAxis,11,2,1,0,26,20
org.jfree.chart.axis.ExtendedCategoryAxisTest,3,0,5,0,20,5
org.jfree.chart.axis.LogAxis,22,2,1,0,96,97
org.jfree.chart.axis.LogAxisTest,14,0,6,0,49,12
org.jfree.chart.axis.LogTick,5,2,1,0,3,2
org.jfree.chart.axis.LogarithmicAxis,13,3,1,1,49,114
org.jfree.chart.axis.LogarithmicAxisTest,5,0,2,0,32,10
org.jfree.chart.axis.LogarithmicAxisTest.MyLogarithmicAxis,2,4,1,0,4,2
org.jfree.chart.axis.MarkerAxisBand,8,0,1,0,18,18
org.jfree.chart.axis.MarkerAxisBandTest,2,0,3,0,9,3
org.jfree.chart.axis.ModuloAxis,7,3,1,0,32,40
org.jfree.chart.axis.ModuloAxisTest,4,0,4,0,15,4
org.jfree.chart.axis.MonthDateFormat,2,0,2,0,11,19
org.jfree.chart.axis.MonthDateFormatTest,2,0,4,0,11,4
org.jfree.chart.axis.NumberAxis,76,2,9,4,97,112
org.jfree.chart.axis.NumberAxisTest,16,0,5,0,52,12
org.jfree.chart.axis.NumberTick,11,2,1,1,5,3
org.jfree.chart.axis.NumberTickUnit,17,1,1,0,13,12
org.jfree.chart.axis.NumberTickUnitSource,5,0,1,0,15,39
org.jfree.chart.axis.NumberTickUnitTest,2,0,4,0,11,4
org.jfree.chart.axis.PeriodAxis,24,2,1,0,116,115
org.jfree.chart.axis.PeriodAxisLabelInfo,8,0,8,0,23,26
org.jfree.chart.axis.PeriodAxisLabelInfoTest,6,0,5,0,19,5
org.jfree.chart.axis.PeriodAxisTest,15,0,7,0,47,8
org.jfree.chart.axis.QuarterDateFormat,2,0,2,0,8,12
org.jfree.chart.axis.QuarterDateFormatTest,2,0,4,0,12,4
org.jfree.chart.axis.StandardTickUnitSource,4,0,1,0,8,7
org.jfree.chart.axis.StandardTickUnitSourceTest,2,0,2,0,5,2
org.jfree.chart.axis.SubCategoryAxis,17,2,1,0,48,40
org.jfree.chart.axis.SubCategoryAxisTest,7,0,5,0,22,5
org.jfree.chart.axis.SymbolAxis,20,3,2,0,54,69
org.jfree.chart.axis.SymbolAxisTest,3,0,3,0,13,3
org.jfree.chart.axis.Tick,15,0,4,2,9,14
org.jfree.chart.axis.TickType,12,n/a,2,n/a,2,0
org.jfree.chart.axis.TickUnit,15,0,3,2,8,16
org.jfree.chart.axis.TickUnitSource,n/a,n/a,n/a,n/a,3,n/a
org.jfree.chart.axis.TickUnits,5,0,1,0,10,14
org.jfree.chart.axis.TickUnitsTest,4,0,3,0,11,3
org.jfree.chart.axis.Timeline,n/a,n/a,n/a,n/a,7,n/a
org.jfree.chart.axis.ValueAxis,137,1,7,4,131,163
org.jfree.chart.axis.ValueAxisTest,16,0,4,0,48,4
org.jfree.chart.axis.ValueTick,15,1,2,3,7,9
org.jfree.chart.block.AbstractBlock,30,0,3,6,67,55
org.jfree.chart.block.AbstractBlockTest,5,0,3,0,19,3
org.jfree.chart.block.Arrangement,n/a,n/a,n/a,n/a,3,n/a
org.jfree.chart.block.Block,n/a,n/a,n/a,n/a,7,n/a
org.jfree.chart.block.BlockBorder,9,0,1,0,21,19
org.jfree.chart.block.BlockBorderTest,4,0,3,0,11,3
org.jfree.chart.block.BlockContainer,25,1,1,1,34,26
org.jfree.chart.block.BlockContainerTest,6,0,3,0,16,3
org.jfree.chart.block.BlockFrame,n/a,n/a,n/a,n/a,2,n/a
org.jfree.chart.block.BlockParams,3,0,3,0,7,7
org.jfree.chart.block.BlockResult,7,0,1,0,3,3
org.jfree.chart.block.BorderArrangement,12,0,1,0,34,71
org.jfree.chart.block.BorderArrangementTest,11,0,3,0,24,6
org.jfree.chart.block.CenterArrangement,8,0,3,0,29,31
org.jfree.chart.block.ColorBlock,8,1,2,0,26,12
org.jfree.chart.block.ColorBlockTest,3,0,3,0,11,3
org.jfree.chart.block.ColumnArrangement,12,0,3,0,28,42
org.jfree.chart.block.ColumnArrangementTest,4,0,2,0,9,3
org.jfree.chart.block.EmptyBlock,10,1,2,0,16,5
org.jfree.chart.block.EmptyBlockTest,3,0,3,0,10,3
org.jfree.chart.block.EntityBlockParams,n/a,n/a,n/a,n/a,1,n/a
org.jfree.chart.block.EntityBlockResult,n/a,n/a,n/a,n/a,1,n/a
org.jfree.chart.block.FlowArrangement,12,0,3,0,30,46
org.jfree.chart.block.FlowArrangementTest,4,0,2,0,9,3
org.jfree.chart.block.GridArrangement,8,0,3,0,33,51
org.jfree.chart.block.GridArrangementTest,9,0,4,0,41,19
org.jfree.chart.block.LabelBlock,19,1,1,0,47,34
org.jfree.chart.block.LabelBlockTest,5,0,3,0,14,3
org.jfree.chart.block.LengthConstraintType,14,n/a,2,n/a,2,0
org.jfree.chart.block.LineBorder,6,0,1,0,21,19
org.jfree.chart.block.LineBorderTest,3,0,3,0,10,3
org.jfree.chart.block.RectangleConstraint,28,0,1,0,23,33
org.jfree.chart.block.RectangleConstraintTest,4,0,1,0,6,1
org.jfree.chart.block.Size2D,33,0,2,0,10,14
org.jfree.chart.date.MonthConstants,n/a,n/a,n/a,n/a,0,n/a
org.jfree.chart.date.SerialDate,8,0,16,1,49,78
org.jfree.chart.date.SpreadsheetDate,2,1,3,0,24,34
org.jfree.chart.encoders.EncoderUtil,3,0,8,0,14,8
org.jfree.chart.encoders.ImageEncoder,n/a,n/a,n/a,n/a,6,n/a
org.jfree.chart.encoders.ImageEncoderFactory,2,0,1,0,8,8
org.jfree.chart.encoders.ImageFormat,n/a,n/a,n/a,n/a,0,n/a
org.jfree.chart.encoders.SunJPEGEncoderAdapter,2,0,3,0,8,8
org.jfree.chart.encoders.SunPNGEncoderAdapter,3,0,5,0,7,6
org.jfree.chart.entity.AxisEntity,5,1,1,0,21,16
org.jfree.chart.entity.CategoryItemEntity,6,1,3,0,12,14
org.jfree.chart.entity.CategoryItemEntityTest,5,0,3,0,15,3
org.jfree.chart.entity.CategoryLabelEntity,5,2,1,0,10,8
org.jfree.chart.entity.CategoryLabelEntityTest,4,0,3,0,13,3
org.jfree.chart.entity.ChartEntity,36,0,1,12,26,37
org.jfree.chart.entity.EntityCollection,n/a,n/a,n/a,n/a,8,n/a
org.jfree.chart.entity.FlowEntity,5,1,1,0,9,7
org.jfree.chart.entity.FlowEntityTest,4,0,3,0,11,3
org.jfree.chart.entity.JFreeChartEntity,5,1,1,0,21,16
org.jfree.chart.entity.LegendItemEntity,4,1,2,0,11,13
org.jfree.chart.entity.LegendItemEntityTest,5,0,3,0,16,3
org.jfree.chart.entity.NodeEntity,4,1,1,0,7,4
org.jfree.chart.entity.PieSectionEntity,7,1,4,0,16,18
org.jfree.chart.entity.PieSectionEntityTest,5,0,3,0,18,3
org.jfree.chart.entity.PlotEntity,5,1,1,0,21,16
org.jfree.chart.entity.StandardEntityCollection,13,0,1,0,16,17
org.jfree.chart.entity.StandardEntityCollectionTest,5,0,3,0,14,3
org.jfree.chart.entity.TickLabelEntity,3,1,0,1,2,1
org.jfree.chart.entity.TickLabelEntityTest,4,0,3,0,13,3
org.jfree.chart.entity.TitleEntity,7,1,1,0,21,16
org.jfree.chart.entity.XYAnnotationEntity,2,1,1,0,6,8
org.jfree.chart.entity.XYItemEntity,9,1,3,0,11,13
org.jfree.chart.entity.XYItemEntityTest,5,0,3,0,16,3
org.jfree.chart.event.AnnotationChangeEvent,10,1,1,0,4,2
org.jfree.chart.event.AnnotationChangeListener,n/a,n/a,n/a,n/a,1,n/a
org.jfree.chart.event.AxisChangeEvent,10,1,1,0,3,2
org.jfree.chart.event.AxisChangeListener,n/a,n/a,n/a,n/a,1,n/a
org.jfree.chart.event.ChartChangeEvent,35,0,2,7,8,7
org.jfree.chart.event.ChartChangeEventType,4,n/a,2,n/a,2,0
org.jfree.chart.event.ChartChangeListener,n/a,n/a,n/a,n/a,1,n/a
org.jfree.chart.event.ChartProgressEvent,5,0,3,0,8,7
org.jfree.chart.event.ChartProgressEventType,2,n/a,2,n/a,2,0
org.jfree.chart.event.ChartProgressListener,n/a,n/a,n/a,n/a,1,n/a
org.jfree.chart.event.MarkerChangeEvent,11,1,1,0,3,2
org.jfree.chart.event.MarkerChangeListener,n/a,n/a,n/a,n/a,1,n/a
org.jfree.chart.event.PlotChangeEvent,14,1,1,0,3,2
org.jfree.chart.event.PlotChangeListener,n/a,n/a,n/a,n/a,1,n/a
org.jfree.chart.event.RendererChangeEvent,12,1,2,0,5,4
org.jfree.chart.event.RendererChangeListener,n/a,n/a,n/a,n/a,1,n/a
org.jfree.chart.event.TitleChangeEvent,9,1,1,0,3,2
org.jfree.chart.event.TitleChangeListener,n/a,n/a,n/a,n/a,1,n/a
org.jfree.chart.imagemap.DynamicDriveToolTipTagFragmentGenerator,2,0,1,0,4,3
org.jfree.chart.imagemap.DynamicDriveToolTipTagFragmentGeneratorTest,1,0,1,0,3,1
org.jfree.chart.imagemap.ImageMapUtils,13,0,2,0,18,23
org.jfree.chart.imagemap.ImageMapUtilsTest,8,0,5,0,17,5
org.jfree.chart.imagemap.OverLIBToolTipTagFragmentGenerator,5,0,1,0,3,2
org.jfree.chart.imagemap.OverLIBToolTipTagFragmentGeneratorTest,1,0,1,0,3,1
org.jfree.chart.imagemap.StandardToolTipTagFragmentGenerator,5,0,1,0,3,2
org.jfree.chart.imagemap.StandardToolTipTagFragmentGeneratorTest,1,0,1,0,3,1
org.jfree.chart.imagemap.StandardURLTagFragmentGenerator,5,0,1,0,2,2
org.jfree.chart.imagemap.StandardURLTagFragmentGeneratorTest,1,0,1,0,3,1
org.jfree.chart.imagemap.ToolTipTagFragmentGenerator,n/a,n/a,n/a,n/a,1,n/a
org.jfree.chart.imagemap.URLTagFragmentGenerator,n/a,n/a,n/a,n/a,1,n/a
org.jfree.chart.internal.Args,239,0,5,0,5,10
org.jfree.chart.internal.ArgsTest,1,0,1,0,3,1
org.jfree.chart.internal.ArrayUtils,3,0,1,0,6,31
org.jfree.chart.internal.CloneUtils,244,0,1,0,6,13
org.jfree.chart.internal.CloneUtilsTest,1,0,2,0,6,2
org.jfree.chart.internal.HashUtils,55,0,2,0,10,19
org.jfree.chart.internal.HashUtilsTest,1,0,1,0,4,1
org.jfree.chart.internal.LineUtils,6,0,2,0,3,15
org.jfree.chart.internal.LineUtilsTest,1,0,1,0,6,7
org.jfree.chart.internal.PaintUtils,69,0,3,0,5,20
org.jfree.chart.internal.SerialUtils,96,0,11,0,19,71
org.jfree.chart.internal.SerialUtilsTest,4,0,2,0,9,2
org.jfree.chart.internal.SerialUtilsTest.ObjectWithMapOfPaint,2,0,1,0,6,4
org.jfree.chart.internal.SerialUtilsTest.ObjectWithMapOfStroke,2,0,1,0,6,4
org.jfree.chart.internal.ShapeUtils,31,0,16,0,23,46
org.jfree.chart.internal.ShapeUtilsTest,2,0,5,0,12,5
org.jfree.chart.labels.AbstractCategoryItemLabelGenerator,13,0,3,2,19,24
org.jfree.chart.labels.AbstractPieItemLabelGenerator,9,0,1,2,13,20
org.jfree.chart.labels.AbstractXYItemLabelGenerator,12,0,1,5,22,31
org.jfree.chart.labels.BoxAndWhiskerToolTipGenerator,10,2,1,0,15,7
org.jfree.chart.labels.BoxAndWhiskerToolTipGeneratorTest,5,0,5,0,16,5
org.jfree.chart.labels.BoxAndWhiskerXYToolTipGenerator,8,2,1,0,17,8
org.jfree.chart.labels.BoxAndWhiskerXYToolTipGeneratorTest,4,0,5,0,16,5
org.jfree.chart.labels.BubbleXYItemLabelGenerator,9,1,1,0,25,19
org.jfree.chart.labels.BubbleXYItemLabelGeneratorTest,6,0,6,0,22,6
org.jfree.chart.labels.CategoryItemLabelGenerator,n/a,n/a,n/a,n/a,3,n/a
org.jfree.chart.labels.CategorySeriesLabelGenerator,n/a,n/a,n/a,n/a,1,n/a
org.jfree.chart.labels.CategoryToolTipGenerator,n/a,n/a,n/a,n/a,1,n/a
org.jfree.chart.labels.CrosshairLabelGenerator,n/a,n/a,n/a,n/a,1,n/a
org.jfree.chart.labels.CustomXYItemLabelGeneratorTest,4,0,3,0,11,3
org.jfree.chart.labels.CustomXYToolTipGenerator,4,0,1,0,8,18
org.jfree.chart.labels.FlowLabelGenerator,n/a,n/a,n/a,n/a,1,n/a
org.jfree.chart.labels.HighLowItemLabelGenerator,10,0,2,0,13,21
org.jfree.chart.labels.HighLowItemLabelGeneratorTest,4,0,5,0,16,5
org.jfree.chart.labels.IntervalCategoryItemLabelGenerator,10,2,1,0,13,9
org.jfree.chart.labels.IntervalCategoryItemLabelGeneratorTest,5,0,5,0,15,5
org.jfree.chart.labels.IntervalCategoryToolTipGenerator,8,2,1,0,17,13
org.jfree.chart.labels.IntervalCategoryToolTipGeneratorTest,5,0,6,0,16,6
org.jfree.chart.labels.IntervalXYItemLabelGenerator,7,1,2,0,33,21
org.jfree.chart.labels.IntervalXYToolTipGenerator,6,1,2,0,33,21
org.jfree.chart.labels.ItemLabelAnchor,10,n/a,2,n/a,2,0
org.jfree.chart.labels.ItemLabelAnchorTest,2,0,1,0,6,2
org.jfree.chart.labels.ItemLabelPosition,18,0,4,0,10,15
org.jfree.chart.labels.ItemLabelPositionTest,2,0,2,0,5,2
org.jfree.chart.labels.MultipleXYSeriesLabelGenerator,7,0,1,0,13,19
org.jfree.chart.labels.MultipleXYSeriesLabelGeneratorTest,4,0,5,0,17,5
org.jfree.chart.labels.PieSectionLabelGenerator,n/a,n/a,n/a,n/a,2,n/a
org.jfree.chart.labels.PieToolTipGenerator,n/a,n/a,n/a,n/a,1,n/a
org.jfree.chart.labels.StandardCategoryItemLabelGenerator,12,1,1,1,12,9
org.jfree.chart.labels.StandardCategoryItemLabelGeneratorTest,6,0,7,0,21,7
org.jfree.chart.labels.StandardCategorySeriesLabelGenerator,9,0,1,0,10,10
org.jfree.chart.labels.StandardCategorySeriesLabelGeneratorTest,5,0,6,0,21,6
org.jfree.chart.labels.StandardCategoryToolTipGenerator,21,1,1,2,10,8
org.jfree.chart.labels.StandardCategoryToolTipGeneratorTest,5,0,6,0,16,6
org.jfree.chart.labels.StandardCrosshairLabelGenerator,4,0,1,0,9,11
org.jfree.chart.labels.StandardFlowLabelGenerator,7,0,1,0,10,7
org.jfree.chart.labels.StandardFlowLabelGeneratorTest,2,0,2,0,5,2
org.jfree.chart.labels.StandardPieSectionLabelGenerator,9,1,2,0,18,15
org.jfree.chart.labels.StandardPieSectionLabelGeneratorTest,4,0,5,0,17,5
org.jfree.chart.labels.StandardPieToolTipGenerator,7,1,1,0,10,7
org.jfree.chart.labels.StandardPieToolTipGeneratorTest,5,0,5,0,18,5
org.jfree.chart.labels.StandardXYItemLabelGenerator,7,1,1,0,18,12
org.jfree.chart.labels.StandardXYItemLabelGeneratorTest,5,0,5,0,21,5
org.jfree.chart.labels.StandardXYSeriesLabelGenerator,10,0,1,0,10,10
org.jfree.chart.labels.StandardXYSeriesLabelGeneratorTest,6,0,6,0,21,6
org.jfree.chart.labels.StandardXYToolTipGenerator,19,1,2,2,17,12
org.jfree.chart.labels.StandardXYToolTipGeneratorTest,4,0,5,0,17,5
org.jfree.chart.labels.StandardXYZToolTipGenerator,9,2,1,0,24,18
org.jfree.chart.labels.StandardXYZToolTipGeneratorTest,4,0,5,0,17,5
org.jfree.chart.labels.SymbolicXYItemLabelGenerator,11,0,2,0,14,12
org.jfree.chart.labels.SymbolicXYItemLabelGeneratorTest,4,0,5,0,13,5
