Chidamber-Kemerer metrics,lun., 24 oct. 2022 22:54:29 EDT
org.jfree.chart.labels.XYItemLabelGenerator,n/a,n/a,n/a,n/a,1,n/a
org.jfree.chart.labels.XYSeriesLabelGenerator,n/a,n/a,n/a,n/a,1,n/a
org.jfree.chart.labels.XYToolTipGenerator,n/a,n/a,n/a,n/a,1,n/a
org.jfree.chart.labels.XYZToolTipGenerator,n/a,n/a,n/a,n/a,1,n/a
org.jfree.chart.legend.LegendGraphic,16,1,1,0,69,77
org.jfree.chart.legend.LegendGraphicTest,6,0,5,0,33,5
org.jfree.chart.legend.LegendItem,62,0,24,0,73,87
org.jfree.chart.legend.LegendItemBlockContainer,10,2,2,0,21,11
org.jfree.chart.legend.LegendItemCollection,30,0,1,0,10,12
org.jfree.chart.legend.LegendItemSource,n/a,n/a,n/a,n/a,1,n/a
org.jfree.chart.legend.LegendRenderingOrder,0,n/a,2,n/a,2,0
org.jfree.chart.legend.LegendTitle,38,2,2,0,115,64
org.jfree.chart.legend.LegendTitleTest,9,0,4,0,22,4
org.jfree.chart.legend.PaintScaleLegend,25,2,1,0,78,70
org.jfree.chart.legend.PaintScaleLegendTest,8,0,4,0,27,4
org.jfree.chart.plot.CategoryCrosshairState,5,1,1,0,12,13
org.jfree.chart.plot.CategoryMarker,10,1,2,0,15,15
org.jfree.chart.plot.CategoryMarkerTest,6,0,4,0,24,6
org.jfree.chart.plot.CategoryPlot,112,1,13,2,361,597
org.jfree.chart.plot.CategoryPlotTest,40,0,27,0,174,37
org.jfree.chart.plot.CenterTextMode,2,n/a,2,n/a,2,0
org.jfree.chart.plot.CombinedDomainCategoryPlot,21,2,3,0,95,72
org.jfree.chart.plot.CombinedDomainCategoryPlotTest,16,0,2,0,39,9
org.jfree.chart.plot.CombinedDomainXYPlot,25,2,3,0,106,86
org.jfree.chart.plot.CombinedDomainXYPlotTest,16,0,3,0,45,10
org.jfree.chart.plot.CombinedRangeCategoryPlot,22,2,2,0,84,62
org.jfree.chart.plot.CombinedRangeCategoryPlotTest,15,0,2,0,37,9
org.jfree.chart.plot.CombinedRangeXYPlot,23,2,3,0,101,79
org.jfree.chart.plot.CombinedRangeXYPlotTest,16,0,2,0,42,9
org.jfree.chart.plot.Crosshair,11,0,1,0,51,57
org.jfree.chart.plot.CrosshairState,35,0,1,2,19,27
org.jfree.chart.plot.CrosshairTest,5,0,5,0,32,5
org.jfree.chart.plot.DatasetRenderingOrder,3,n/a,2,n/a,2,0
org.jfree.chart.plot.DefaultDrawingSupplier,12,0,2,0,25,44
org.jfree.chart.plot.DefaultDrawingSupplierTest,3,0,3,0,16,3
org.jfree.chart.plot.DialShape,2,n/a,2,n/a,2,0
org.jfree.chart.plot.DrawingSupplier,n/a,n/a,n/a,n/a,6,n/a
org.jfree.chart.plot.FastScatterPlot,25,1,5,0,94,98
org.jfree.chart.plot.FastScatterPlotTest,7,0,4,0,28,7
org.jfree.chart.plot.IntervalMarker,10,1,3,0,17,17
org.jfree.chart.plot.IntervalMarkerTest,9,0,4,0,22,6
org.jfree.chart.plot.Marker,27,0,2,3,47,57
org.jfree.chart.plot.MarkerTest,11,0,3,0,60,15
org.jfree.chart.plot.MeterInterval,8,0,5,0,17,17
org.jfree.chart.plot.MeterIntervalTest,3,0,3,0,10,3
org.jfree.chart.plot.MeterPlot,21,1,3,0,92,117
org.jfree.chart.plot.MeterPlotTest,7,0,4,0,36,4
org.jfree.chart.plot.MyPlotChangeListener,4,0,1,0,4,4
org.jfree.chart.plot.Pannable,n/a,n/a,n/a,n/a,5,n/a
org.jfree.chart.plot.Plot,102,0,8,13,92,154
org.jfree.chart.plot.PlotOrientation,102,n/a,4,n/a,4,2
org.jfree.chart.plot.PlotOrientationTest,2,0,1,0,6,2
org.jfree.chart.plot.PlotRenderingInfo,103,0,3,0,19,25
org.jfree.chart.plot.PlotRenderingInfoTest,4,0,3,0,17,3
org.jfree.chart.plot.PlotState,20,0,1,0,2,2
org.jfree.chart.plot.PlotTest,5,0,1,0,19,1
org.jfree.chart.plot.PolarAxisLocation,1,n/a,2,n/a,2,0
org.jfree.chart.plot.PolarPlot,44,1,13,0,157,221
org.jfree.chart.plot.PolarPlotTest,14,0,8,0,58,8
org.jfree.chart.plot.RingPlot,25,2,2,0,77,62
org.jfree.chart.plot.RingPlotTest,4,0,3,0,21,3
org.jfree.chart.plot.SeriesRenderingOrder,1,n/a,2,n/a,2,0
org.jfree.chart.plot.SpiderWebPlot,29,1,2,0,121,127
org.jfree.chart.plot.SpiderWebPlotTest,12,0,5,0,50,5
org.jfree.chart.plot.ThermometerPlot,27,1,10,0,118,153
org.jfree.chart.plot.ThermometerPlotTest,4,0,4,0,27,4
org.jfree.chart.plot.ValueAxisPlot,n/a,n/a,n/a,n/a,1,n/a
org.jfree.chart.plot.ValueMarker,9,1,1,0,11,10
org.jfree.chart.plot.ValueMarkerTest,10,0,5,0,39,7
org.jfree.chart.plot.WaferMapPlot,15,1,4,0,33,33
org.jfree.chart.plot.XYCrosshairState,1,1,0,0,1,1
org.jfree.chart.plot.XYPlot,129,1,6,2,371,645
org.jfree.chart.plot.XYPlotTest,41,0,35,0,184,47
org.jfree.chart.plot.Zoomable,n/a,n/a,n/a,n/a,9,n/a
org.jfree.chart.plot.compass.ArrowNeedle,5,1,1,1,11,12
org.jfree.chart.plot.compass.ArrowNeedleTest,3,0,3,0,10,3
org.jfree.chart.plot.compass.CompassPlot,25,1,6,0,62,87
org.jfree.chart.plot.compass.CompassPlotTest,4,0,3,0,18,3
org.jfree.chart.plot.compass.LineNeedle,4,1,1,0,8,7
org.jfree.chart.plot.compass.LineNeedleTest,3,0,3,0,8,3
org.jfree.chart.plot.compass.LongNeedle,3,1,1,0,14,12
org.jfree.chart.plot.compass.LongNeedleTest,3,0,3,0,9,3
org.jfree.chart.plot.compass.MeterNeedle,14,0,5,8,35,40
org.jfree.chart.plot.compass.MeterNeedleTest,2,0,1,0,10,1
org.jfree.chart.plot.compass.MiddlePinNeedle,3,1,1,0,8,9
org.jfree.chart.plot.compass.MiddlePinNeedleTest,3,0,3,0,8,3
org.jfree.chart.plot.compass.PinNeedle,3,1,1,0,8,9
org.jfree.chart.plot.compass.PinNeedleTest,3,0,3,0,8,3
org.jfree.chart.plot.compass.PlumNeedle,3,1,1,0,8,8
org.jfree.chart.plot.compass.PlumNeedleTest,3,0,3,0,8,3
org.jfree.chart.plot.compass.PointerNeedle,3,1,1,0,11,11
org.jfree.chart.plot.compass.PointerNeedleTest,3,0,3,0,8,3
org.jfree.chart.plot.compass.ShipNeedle,3,1,1,0,8,8
org.jfree.chart.plot.compass.ShipNeedleTest,3,0,3,0,8,3
org.jfree.chart.plot.compass.WindNeedle,4,2,1,0,9,8
org.jfree.chart.plot.compass.WindNeedleTest,3,0,3,0,9,3
org.jfree.chart.plot.dial.AbstractDialLayer,27,0,1,9,14,15
org.jfree.chart.plot.dial.AbstractDialLayerTest,5,0,3,0,16,3
org.jfree.chart.plot.dial.ArcDialFrame,11,1,3,0,37,36
org.jfree.chart.plot.dial.ArcDialFrameTest,5,0,4,0,26,4
org.jfree.chart.plot.dial.DialBackground,13,1,2,0,24,18
org.jfree.chart.plot.dial.DialBackgroundTest,7,0,2,0,24,4
org.jfree.chart.plot.dial.DialCap,12,1,2,0,28,23
org.jfree.chart.plot.dial.DialCapTest,5,0,4,0,24,4
org.jfree.chart.plot.dial.DialFrame,n/a,n/a,n/a,n/a,1,n/a
org.jfree.chart.plot.dial.DialLayer,n/a,n/a,n/a,n/a,6,n/a
org.jfree.chart.plot.dial.DialLayerChangeEvent,17,1,1,0,3,2
org.jfree.chart.plot.dial.DialLayerChangeListener,n/a,n/a,n/a,n/a,1,n/a
org.jfree.chart.plot.dial.DialPlot,27,1,6,0,63,80
org.jfree.chart.plot.dial.DialPlotTest,11,0,5,0,39,10
org.jfree.chart.plot.dial.DialPointer,9,1,3,2,15,14
org.jfree.chart.plot.dial.DialPointer.Pin,10,2,1,0,28,15
org.jfree.chart.plot.dial.DialPointer.Pointer,10,2,1,0,28,18
org.jfree.chart.plot.dial.DialPointerTest,7,0,7,0,29,7
org.jfree.chart.plot.dial.DialScale,n/a,n/a,n/a,n/a,2,n/a
org.jfree.chart.plot.dial.DialTextAnnotation,12,1,2,0,31,29
org.jfree.chart.plot.dial.DialTextAnnotationTest,5,0,4,0,24,4
org.jfree.chart.plot.dial.DialValueIndicator,15,1,2,0,61,60
org.jfree.chart.plot.dial.DialValueIndicatorTest,8,0,4,0,33,4
org.jfree.chart.plot.dial.MyDialLayerChangeListener,12,0,1,0,2,2
org.jfree.chart.plot.dial.StandardDialFrame,11,1,2,0,29,24
org.jfree.chart.plot.dial.StandardDialFrameTest,5,0,4,0,23,4
org.jfree.chart.plot.dial.StandardDialRange,11,1,2,0,34,34
org.jfree.chart.plot.dial.StandardDialRangeTest,5,0,4,0,22,4
org.jfree.chart.plot.dial.StandardDialScale,12,1,2,0,61,81
org.jfree.chart.plot.dial.StandardDialScaleTest,5,0,5,0,38,6
org.jfree.chart.plot.flow.FlowPlot,22,1,2,0,67,88
org.jfree.chart.plot.flow.FlowPlotTest,8,0,3,0,38,15
org.jfree.chart.plot.pie.AbstractPieLabelDistributor,4,0,2,1,7,5
org.jfree.chart.plot.pie.MultiplePiePlot,33,1,2,0,86,61
org.jfree.chart.plot.pie.MultiplePiePlotTest,12,0,6,0,37,6
org.jfree.chart.plot.pie.PieLabelDistributor,3,1,1,0,17,26
org.jfree.chart.plot.pie.PieLabelLinkStyle,4,n/a,2,n/a,2,0
org.jfree.chart.plot.pie.PieLabelRecord,5,0,7,0,17,29
org.jfree.chart.plot.pie.PieLabelRecordTest,3,0,3,0,11,3
org.jfree.chart.plot.pie.PiePlot,50,1,2,1,241,293
org.jfree.chart.plot.pie.PiePlotState,4,1,10,0,22,21
org.jfree.chart.plot.pie.PiePlotTest,16,0,16,0,96,16
org.jfree.chart.plot.pie.PiePlotTest.NullLegendLabelGenerator,3,0,2,0,2,2
org.jfree.chart.renderer.AbstractRenderer,83,0,6,4,192,310
org.jfree.chart.renderer.AbstractRendererTest,16,0,11,0,84,14
org.jfree.chart.renderer.AbstractRendererTest.MyRendererChangeListener,3,0,1,0,2,2
org.jfree.chart.renderer.AbstractRendererTest.TestRenderer,3,3,1,0,2,1
org.jfree.chart.renderer.AreaRendererEndType,3,n/a,2,n/a,2,0
org.jfree.chart.renderer.AreaRendererEndTypeTest,2,0,1,0,5,2
org.jfree.chart.renderer.DefaultPolarItemRenderer,29,1,3,0,102,88
org.jfree.chart.renderer.DefaultPolarItemRendererTest,4,0,4,0,14,4
org.jfree.chart.renderer.GrayPaintScale,6,0,1,0,11,17
org.jfree.chart.renderer.GrayPaintScaleTest,3,0,5,0,20,5
org.jfree.chart.renderer.LookupPaintScale,12,0,1,0,16,28
org.jfree.chart.renderer.LookupPaintScale.PaintItem,3,0,1,0,8,11
org.jfree.chart.renderer.LookupPaintScaleTest,3,0,5,0,21,6
org.jfree.chart.renderer.NotOutlierException,0,0,0,0,1,1
org.jfree.chart.renderer.Outlier,5,0,1,0,11,17
org.jfree.chart.renderer.OutlierList,4,0,2,0,13,11
org.jfree.chart.renderer.OutlierListCollection,4,0,3,0,13,12
org.jfree.chart.renderer.OutlierTest,1,0,4,0,14,4
org.jfree.chart.renderer.PaintScale,n/a,n/a,n/a,n/a,3,n/a
org.jfree.chart.renderer.PolarItemRenderer,n/a,n/a,n/a,n/a,15,n/a
org.jfree.chart.renderer.RendererChangeDetector,4,0,1,0,4,4
org.jfree.chart.renderer.RendererState,32,0,2,3,7,7
org.jfree.chart.renderer.RendererUtils,5,0,1,0,7,32
org.jfree.chart.renderer.RendererUtilsTest,5,0,5,0,17,11
org.jfree.chart.renderer.WaferMapRenderer,8,1,1,0,26,45
org.jfree.chart.renderer.category.AbstractCategoryItemRenderer,79,1,10,8,167,163
org.jfree.chart.renderer.category.AbstractCategoryItemRendererTest,13,0,11,0,51,11
org.jfree.chart.renderer.category.AreaRenderer,22,2,2,1,56,30
org.jfree.chart.renderer.category.AreaRendererTest,12,0,6,0,29,6
org.jfree.chart.renderer.category.BarPainter,n/a,n/a,n/a,n/a,2,n/a
org.jfree.chart.renderer.category.BarRenderer,50,2,7,5,134,134
org.jfree.chart.renderer.category.BarRendererTest,20,0,9,0,60,9
org.jfree.chart.renderer.category.BoxAndWhiskerRenderer,27,2,3,0,111,101
org.jfree.chart.renderer.category.BoxAndWhiskerRendererTest,15,0,18,0,60,22
org.jfree.chart.renderer.category.CategoryItemRenderer,n/a,n/a,n/a,n/a,135,n/a
org.jfree.chart.renderer.category.CategoryItemRendererState,25,1,4,1,12,16
org.jfree.chart.renderer.category.CategoryStepRenderer,18,2,3,0,48,28
org.jfree.chart.renderer.category.CategoryStepRenderer.State,3,2,0,0,2,1
org.jfree.chart.renderer.category.CategoryStepRendererTest,10,0,5,0,27,5
org.jfree.chart.renderer.category.DefaultCategoryItemRenderer,3,3,0,0,0,0
org.jfree.chart.renderer.category.DefaultCategoryItemRendererTest,5,0,5,0,14,5
org.jfree.chart.renderer.category.GanttRenderer,23,4,2,0,59,55
org.jfree.chart.renderer.category.GanttRendererTest,4,0,5,0,20,5
org.jfree.chart.renderer.category.GradientBarPainter,9,0,1,0,17,31
org.jfree.chart.renderer.category.GradientBarPainterTest,3,0,4,0,11,4
org.jfree.chart.renderer.category.GroupedStackedBarRenderer,23,4,1,0,48,32
org.jfree.chart.renderer.category.GroupedStackedBarRendererTest,11,0,6,0,31,6
org.jfree.chart.renderer.category.IntervalBarRenderer,19,3,2,1,33,19
org.jfree.chart.renderer.category.IntervalBarRendererTest,12,0,7,0,30,7
org.jfree.chart.renderer.category.LayeredBarRenderer,17,3,2,0,50,55
org.jfree.chart.renderer.category.LayeredBarRendererTest,10,0,6,0,27,6
org.jfree.chart.renderer.category.LevelRenderer,18,2,1,0,57,35
org.jfree.chart.renderer.category.LevelRendererTest,11,0,7,0,35,8
org.jfree.chart.renderer.category.LineAndShapeRenderer,27,2,5,2,86,80
org.jfree.chart.renderer.category.LineAndShapeRendererTest,12,0,7,0,46,20
org.jfree.chart.renderer.category.MinMaxCategoryRenderer,16,2,3,0,40,47
org.jfree.chart.renderer.category.MinMaxCategoryRendererTest,10,0,6,0,28,6
org.jfree.chart.renderer.category.ScatterRenderer,17,2,2,0,67,53
org.jfree.chart.renderer.category.ScatterRendererTest,7,0,6,0,30,11
org.jfree.chart.renderer.category.StackedAreaRenderer,18,3,2,0,33,40
org.jfree.chart.renderer.category.StackedAreaRendererTest,7,0,6,0,24,6
org.jfree.chart.renderer.category.StackedBarRenderer,25,3,2,1,50,37
org.jfree.chart.renderer.category.StackedBarRendererTest,7,0,6,0,24,6
org.jfree.chart.renderer.category.StandardBarPainter,8,0,2,0,15,21
org.jfree.chart.renderer.category.StandardBarPainterTest,3,0,4,0,10,4
org.jfree.chart.renderer.category.StatisticalBarRenderer,22,3,2,0,42,54
org.jfree.chart.renderer.category.StatisticalBarRendererTest,13,0,10,0,38,11
org.jfree.chart.renderer.category.StatisticalLineAndShapeRenderer,21,3,2,0,60,45
org.jfree.chart.renderer.category.StatisticalLineAndShapeRendererTest,11,0,8,0,36,8
org.jfree.chart.renderer.category.WaterfallBarRenderer,24,3,2,0,51,41
org.jfree.chart.renderer.category.WaterfallBarRendererTest,5,0,6,0,23,6
org.jfree.chart.renderer.xy.AbstractXYItemRenderer,85,1,12,18,164,169
org.jfree.chart.renderer.xy.AbstractXYItemRendererTest,11,0,7,0,38,8
org.jfree.chart.renderer.xy.CandlestickRenderer,25,2,2,0,64,77
org.jfree.chart.renderer.xy.CandlestickRendererTest,9,0,7,0,40,7
org.jfree.chart.renderer.xy.ClusteredXYBarRenderer,21,3,2,0,41,33
org.jfree.chart.renderer.xy.ClusteredXYBarRendererTest,8,0,6,0,25,7
org.jfree.chart.renderer.xy.CyclicXYItemRenderer,12,3,1,0,17,36
org.jfree.chart.renderer.xy.CyclicXYItemRenderer.OverwriteDataSet,6,0,6,0,15,15
org.jfree.chart.renderer.xy.DefaultXYItemRenderer,2,3,0,0,0,0
org.jfree.chart.renderer.xy.DeviationRenderer,20,3,4,1,35,28
org.jfree.chart.renderer.xy.DeviationRenderer.State,4,3,0,0,2,1
org.jfree.chart.renderer.xy.DeviationRendererTest,4,0,5,0,16,5
org.jfree.chart.renderer.xy.DeviationStepRenderer,17,4,1,0,29,31
org.jfree.chart.renderer.xy.DeviationStepRendererTest,5,0,5,0,16,5
org.jfree.chart.renderer.xy.GradientXYBarPainter,9,0,1,0,16,31
org.jfree.chart.renderer.xy.GradientXYBarPainterTest,3,0,4,0,11,4
org.jfree.chart.renderer.xy.HighLowRenderer,21,2,2,0,43,48
org.jfree.chart.renderer.xy.HighLowRendererTest,9,0,6,0,27,6
org.jfree.chart.renderer.xy.RendererXYPackageUtils,9,0,2,0,8,2
org.jfree.chart.renderer.xy.SamplingXYLineRenderer,16,2,2,0,27,20
org.jfree.chart.renderer.xy.SamplingXYLineRenderer.State,4,2,1,0,4,2
org.jfree.chart.renderer.xy.StackedXYAreaRenderer,24,3,4,0,64,55
org.jfree.chart.renderer.xy.StackedXYAreaRenderer.StackedXYAreaRendererState,3,2,4,0,9,8
org.jfree.chart.renderer.xy.StackedXYAreaRenderer2,21,3,2,0,30,44
org.jfree.chart.renderer.xy.StackedXYAreaRenderer2Test,15,0,6,0,30,7
org.jfree.chart.renderer.xy.StackedXYAreaRendererTest,16,0,8,0,36,8
org.jfree.chart.renderer.xy.StackedXYBarRenderer,24,3,3,0,44,43
org.jfree.chart.renderer.xy.StackedXYBarRendererTest,13,0,6,0,29,7
org.jfree.chart.renderer.xy.StandardXYBarPainter,8,0,2,0,14,21
org.jfree.chart.renderer.xy.StandardXYBarPainterTest,3,0,4,0,10,4
org.jfree.chart.renderer.xy.StandardXYItemRenderer,33,2,1,1,89,91
org.jfree.chart.renderer.xy.StandardXYItemRenderer.State,3,2,2,0,6,5
org.jfree.chart.renderer.xy.StandardXYItemRendererTest,18,0,7,0,51,7
org.jfree.chart.renderer.xy.VectorRenderer,18,2,3,0,25,30
org.jfree.chart.renderer.xy.VectorRendererTest,4,0,5,0,15,5
org.jfree.chart.renderer.xy.WindItemRenderer,14,2,1,0,13,3
org.jfree.chart.renderer.xy.WindItemRendererTest,4,0,5,0,14,5
org.jfree.chart.renderer.xy.XYAreaRenderer,30,2,3,1,78,68
org.jfree.chart.renderer.xy.XYAreaRenderer.XYAreaRendererState,3,2,0,0,2,1
org.jfree.chart.renderer.xy.XYAreaRenderer2,26,2,2,1,64,32
org.jfree.chart.renderer.xy.XYAreaRenderer2Test,11,0,7,0,37,7
org.jfree.chart.renderer.xy.XYAreaRendererTest,13,0,7,0,41,7
org.jfree.chart.renderer.xy.XYBarPainter,n/a,n/a,n/a,n/a,2,n/a
org.jfree.chart.renderer.xy.XYBarRenderer,40,2,7,2,120,125
org.jfree.chart.renderer.xy.XYBarRenderer.XYBarRendererState,4,2,1,0,4,3
org.jfree.chart.renderer.xy.XYBarRendererTest,24,0,9,0,70,11
org.jfree.chart.renderer.xy.XYBlockRenderer,21,2,1,0,46,50
org.jfree.chart.renderer.xy.XYBlockRendererTest,11,0,9,0,38,9
org.jfree.chart.renderer.xy.XYBoxAndWhiskerRenderer,25,2,2,0,69,65
org.jfree.chart.renderer.xy.XYBoxAndWhiskerRendererTest,9,0,6,0,26,6
org.jfree.chart.renderer.xy.XYBubbleRenderer,20,2,2,0,49,30
org.jfree.chart.renderer.xy.XYBubbleRendererTest,10,0,6,0,27,6
org.jfree.chart.renderer.xy.XYDifferenceRenderer,28,2,4,0,83,92
org.jfree.chart.renderer.xy.XYDifferenceRendererTest,11,0,6,0,34,7
org.jfree.chart.renderer.xy.XYDotRenderer,19,2,2,0,48,30
org.jfree.chart.renderer.xy.XYDotRendererTest,11,0,6,0,31,6
org.jfree.chart.renderer.xy.XYErrorRenderer,16,3,3,0,41,35
org.jfree.chart.renderer.xy.XYErrorRendererTest,5,0,9,0,27,9
org.jfree.chart.renderer.xy.XYItemRenderer,n/a,n/a,n/a,n/a,132,n/a
org.jfree.chart.renderer.xy.XYItemRendererState,40,1,3,6,8,7
org.jfree.chart.renderer.xy.XYLineAndShapeRenderer,39,2,6,6,103,107
org.jfree.chart.renderer.xy.XYLineAndShapeRenderer.State,9,2,1,2,6,4
org.jfree.chart.renderer.xy.XYLineAndShapeRendererTest,19,0,8,0,56,9
org.jfree.chart.renderer.xy.XYShapeRenderer,24,2,5,0,63,52
org.jfree.chart.renderer.xy.XYShapeRendererTest,8,0,4,0,35,5
org.jfree.chart.renderer.xy.XYSplineRenderer,16,3,2,0,33,46
org.jfree.chart.renderer.xy.XYSplineRenderer.FillType,2,n/a,2,n/a,2,0
org.jfree.chart.renderer.xy.XYSplineRenderer.XYSplineState,3,3,0,0,2,1
org.jfree.chart.renderer.xy.XYSplineRendererTest,8,0,5,0,20,5
org.jfree.chart.renderer.xy.XYStepAreaRenderer,19,2,2,0,45,62
org.jfree.chart.renderer.xy.XYStepAreaRendererTest,10,0,6,0,31,6
org.jfree.chart.renderer.xy.XYStepRenderer,21,3,1,0,34,28
org.jfree.chart.renderer.xy.XYStepRendererTest,10,0,7,0,29,7
org.jfree.chart.renderer.xy.YIntervalRenderer,21,2,2,0,41,18
org.jfree.chart.renderer.xy.YIntervalRendererTest,19,0,5,0,46,6
org.jfree.chart.swing.AbstractOverlay,5,0,1,1,8,7
org.jfree.chart.swing.ApplicationFrame,0,0,7,0,8,9
org.jfree.chart.swing.ChartFrame,2,0,1,0,4,4
org.jfree.chart.swing.ChartMouseEvent,5,0,3,0,4,4
org.jfree.chart.swing.ChartMouseListener,n/a,n/a,n/a,n/a,2,n/a
org.jfree.chart.swing.ChartPanel,31,0,7,1,179,272
org.jfree.chart.swing.ChartPanelTest,12,0,7,0,56,19
org.jfree.chart.swing.CrosshairOverlay,17,1,2,0,53,83
org.jfree.chart.swing.CrosshairOverlayTest,4,0,3,0,14,3
org.jfree.chart.swing.DefaultSelectionZoomStrategy,3,0,2,0,20,27
org.jfree.chart.swing.MouseWheelHandler,7,0,1,0,18,12
org.jfree.chart.swing.NumberCellRenderer,1,0,1,0,2,4
org.jfree.chart.swing.Overlay,n/a,n/a,n/a,n/a,3,n/a
org.jfree.chart.swing.OverlayChangeEvent,3,0,0,0,1,1
org.jfree.chart.swing.OverlayChangeListener,n/a,n/a,n/a,n/a,1,n/a
org.jfree.chart.swing.PolarChartPanel,5,1,2,0,20,18
org.jfree.chart.swing.SelectionZoomStrategy,n/a,n/a,n/a,n/a,15,n/a
org.jfree.chart.swing.UIUtils,1,0,5,0,11,13
org.jfree.chart.swing.editor.ChartEditor,n/a,n/a,n/a,n/a,1,n/a
org.jfree.chart.swing.editor.ChartEditorFactory,n/a,n/a,n/a,n/a,1,n/a
org.jfree.chart.swing.editor.ChartEditorManager,6,0,1,0,7,4
org.jfree.chart.swing.editor.DefaultAxisEditor,12,0,3,1,45,28
org.jfree.chart.swing.editor.DefaultChartEditor,11,0,1,0,23,11
org.jfree.chart.swing.editor.DefaultChartEditorFactory,5,0,1,0,3,2
org.jfree.chart.swing.editor.DefaultLogAxisEditor,6,2,1,0,18,12
org.jfree.chart.swing.editor.DefaultNumberAxisEditor,7,2,1,0,20,12
org.jfree.chart.swing.editor.DefaultPlotEditor,18,0,1,1,57,67
org.jfree.chart.swing.editor.DefaultPolarPlotEditor,7,1,2,0,19,14
org.jfree.chart.swing.editor.DefaultTitleEditor,8,0,1,0,27,19
org.jfree.chart.swing.editor.DefaultValueAxisEditor,9,1,2,2,37,33
org.jfree.chart.swing.editor.FontChooserPanel,2,0,1,0,6,15
org.jfree.chart.swing.editor.FontDisplayField,2,0,1,0,4,5
org.jfree.chart.swing.editor.LCBLayout,7,0,5,0,8,28
org.jfree.chart.swing.editor.PaintSample,5,0,2,0,5,5
org.jfree.chart.swing.editor.StrokeChooserPanel,4,0,1,0,5,4
org.jfree.chart.swing.editor.StrokeSample,3,0,2,0,6,8
org.jfree.chart.text.AttributedStringUtils,2,0,1,0,2,9
org.jfree.chart.text.G2TextMeasurer,6,0,1,0,3,2
org.jfree.chart.text.TextAnchor,51,n/a,3,n/a,10,8
org.jfree.chart.text.TextBlock,17,0,1,0,22,27
org.jfree.chart.text.TextBlockAnchor,12,n/a,2,n/a,2,0
